text,toxic
"retweeet olha quem chegou , nossos queridinhos ! ! ! vem na minha direto feminino : number masc : number hashtag",0
"veio umas teorias muito loucas na minha cabeça agora , puta que pariu to assustado",1
"mais não tinha falado ontem que no ia ser patrocinado nada que pudesse "" violar "" a moralidade da família brasileira",0
retweeet quer ser filha da puta logo comigo que sou number 0x pior kkk fica no sapatinho,1
vai besta rachei com a ultima foto,1
"retweeet no sei o que mais chocante , um botafoguense , ou um botafoguense falando de torcida e grandeza .",1
pois mano que coisa chata da porra,0
retweeet eu odeio sentir dio de algum porque eu te por trs da porra da tela de um celular e no posso meter o soco na mira .,1
se eu ganhar raspo minha cabeça hashtag,0
retweeet valeu mano taj,0
"retweeet mulher que mulher no discuti por homem , quando a briga te feia deixa pra quem passa fome hashtag",0
bicho eu fico puto demais,0
"deve ser um peso , mas chorar faz parte do ritual de cura , sim vezes",0
retweeet eu to puto so queria ser prioridade na vida de alguém nessa caceta mas fim de semana no sou nem minha mesmo imagina na dos outros,1
"eu lembro quando a parola era temida e quieta , eu criei um monstro",0
"puta merda , que saudade de jogar midnight club number",1
"retweeet você é fraco stuart leiro , lhe falta leito episto lesoto especto a doença do rato",0
vai se ferrar ave ! desgraçada de perfeita te amo gostosa da minha vida,0
beleza perdi o ônibus kkk vá se foder,1
"hoje um mistério hoje anos , desde a cria-o do ministério da pesca na esplanada . por que brasília tem quase number mil pescadores que recebem o seguro-defeso pago pelo governo ?",0
"com certeza vai ser amor , a taylor muito inteligente",0
boca fechada pros planos darem certo ! ! ! !,0
"retweeet eu também amigo , mas me incomoda aquela mata atlântica na minha boceta",1
retweeet não sei . pra mim todo japonês que comunista burro . uma coisa que meu pai ensinou kk,1
retweeet deus sim no me fez magra porque sabe que se fizesse eu iria ser uma grande vadia,1
no possível que vai virar essa porra de jogo,0
"eu na hora de comprar celular "" nossa quero um plus quero um grande amo celular grande "" eu depois de anos comprei um celular grande "" que coisa grande do caralho que merda """,1
retweeet quem no gosta de uma cerveja geladinha = aberra,1
tenho nem privacidade pra ficar triste em paz mais vence,0
ver me manter assim porque as outras pessoas no tem nada a ver com isso porque o que de vontade de se a porra de um viado do caralho,1
"se o meu horário deste ano , foi igual ao do ano passado , vou morrer mesmo",0
a mas curitiba te um frio do caralho,1
vai sonhando filho da puta,1
no escurinho da favela,0
retweeet eu amo a isabela isto kkkdkndhenwjwnwhaj,0
""" o rio de janeiro , que sempre respirou flamengo , precisava estar ofegante . ( . ) domingo , apos surrar um eterno freguês , um recado : vamos virar , mengo ! . no estávamos pedindo , e sim avisando . "" entende do riscado . vale demais a leitura !",0
"kafka que o maluco estava negociando com a roma e já estava dado como certo na itália , de ultima hora o jogador deixou de assinar com a roma pra ir pro barcelona dando um chapou no clube italiano . desde bento ele amado pela roma kakakakka . da o valência contratou kakakkakaka",0
"retweeet quatrocentos tweets , falta pouco paulinha na fax",0
caralho eu sentaria em varias mesas,0
retardado aquele que no leva a biologia em considera-o,1
